# deli	frac	dwell	dt	stdev
2.802524469849434635e-10	5.629445252284681622e-01	6.029275176579858453e+03	4.861388110889511283e-02	1.933461456093842346e-01
2.795638822247561075e-10	5.609083829793404252e-01	6.206875034499972571e+03	5.973283221373423130e-02	2.145053075928503861e-01
2.791518880831084561e-10	5.673331693098603301e-01	7.433514053188757316e+03	3.116277506977994591e-02	2.190725943511071805e-01
2.794813101548898742e-10	5.649507489649518988e-01	6.237595009923991711e+03	1.674579460336431680e-01	1.952677491712415669e-01
2.801712181411994646e-10	5.681655090348581849e-01	6.739914608068313100e+03	3.010293591765126481e-02	2.016812778492509117e-01
2.862455435124759610e-10	5.698180610726213402e-01	8.382713293829365284e+03	9.360472511621990843e-02	2.072224081231098525e-01
2.886059229600622251e-10	5.699480972737566153e-01	5.546875562499550142e+03	1.716243427005258448e-01	2.022198744768578249e-01
2.853921076590839065e-10	5.690979314639812436e-01	4.851356118915105071e+03	1.198919040864767360e-01	2.197759550243224835e-01
2.750360055395818061e-10	5.554815960921853923e-01	4.849916120067104202e+03	2.779644176284659096e-01	2.217143738625481642e-01
2.767210526366580295e-10	5.563323038023894052e-01	4.853276117379105926e+03	1.940398447681241853e-02	2.297901569656767284e-01
2.751575960733786668e-10	5.559274400565168417e-01	6.519594784324172906e+03	6.916026467178826298e-02	2.197053437546674370e-01
2.898129652031066299e-10	5.880277518350945920e-01	6.657834673732260853e+03	3.707322634141892448e-01	2.106674002919510791e-01
2.827291928106062019e-10	5.666111837450571453e-01	5.825755339395728697e+03	4.633673893060885618e-01	2.164239648603177857e-01
2.794302515688442564e-10	5.601058284892659334e-01	5.667115466307626775e+03	1.348563721149023120e-01	2.229133093705809310e-01
2.896381263323406053e-10	5.765452669778188266e-01	5.975515219587824504e+03	2.430518855584915539e-01	2.035954724701588003e-01
2.872333716657321344e-10	5.737264657662013434e-01	5.986555210755831467e+03	9.840184127852698304e-02	2.021315923692648397e-01
